StateAbbr,LocationName,LocationID,TotalPopulation,BINGE,CSMOKING,DEPRESSION,DIABETES,LPA,OBESITY
KY,Metcalfe,21169,10370,1327.3600000000001,2395.4700000000003,2862.12,1607.3500000000001,3266.55,4334.66
KY,Monroe,21171,11355,1430.73,2327.775,3065.85,1691.895,3451.92,4451.160000000001
KY,Montgomery,21173,28367,3857.9120000000003,6127.272000000001,8226.43,3999.7470000000003,8595.201,12112.709
KY,Morgan,21175,14120,1877.96,3374.6800000000003,3925.36,2061.52,4461.92,5535.04
KY,Muhlenberg,21177,30455,3898.2400000000002,6486.915,8557.855,4659.615,8740.585000000001,12577.915
KY,Nelson,21179,47392,7061.408,7630.112000000001,12179.743999999999,5924.0,11374.08,16587.2
KY,Nicholas,21181,7805,1092.7,1701.49,2201.01,1147.335,2388.33,3176.635
KY,Ohio,21183,23527,3058.51,5058.305,6493.452000000001,3434.942,7222.789000000001,9551.962000000001
KY,Oldham,21185,69431,10970.098,8401.151,16455.147,7081.9619999999995,12844.735,23884.264
KY,Owen,21187,11290,1490.28,2314.4500000000003,3025.7200000000003,1637.05,3364.42,4369.2300000000005
KY,Owsley,21189,3929,479.33799999999997,966.5340000000001,1119.765,667.9300000000001,1320.144,1614.819
KY,Pendleton,21191,14676,2098.668,3067.2839999999997,4021.2239999999997,2157.372,4270.716,5929.104
KY,Perry,21193,27361,3447.486,5937.3369999999995,7989.411999999999,4213.594,8208.3,11354.815
KY,Pike,21195,56286,6923.178000000001,13283.496000000001,16435.512,8780.616,18686.952,23189.832000000002
KY,Powell,21197,13083,1753.122,2695.0980000000004,3741.7380000000007,1831.6200000000001,3767.9040000000005,5259.366000000001
KY,Pulaski,21199,65795,8421.76,14869.67,19146.345,10395.61,20133.27,25989.025
KY,Robertson,21201,2229,274.16700000000003,512.67,617.433,387.846,753.4019999999999,907.2030000000001
KY,Rockcastle,21203,16242,2014.0080000000003,4092.984,4693.938,2663.688,5684.7,6626.736
KY,Rowan,21205,24388,3682.5879999999997,4511.78,7365.1759999999995,3146.052,6974.968000000001,9462.544
KY,Russell,21207,18178,2163.1820000000002,4653.568,5326.154,3199.3280000000004,6707.682,7289.378000000001
KY,Scott,21209,59099,9278.543,9337.642000000002,15543.037,6441.791,13651.869000000002,21571.135000000002
KY,Shelby,21211,48886,7137.356,7577.33,12123.728000000001,6012.978000000001,12123.728000000001,17794.504
KY,Simpson,21213,19949,2832.758,3710.514,5306.434,2693.1150000000002,5306.434,8238.937
KY,Spencer,21215,20204,2909.376,3798.3520000000003,5374.264,2586.112,5152.02,7657.316
KY,Taylor,21217,26407,3591.3520000000003,5149.365,7077.076,3591.3520000000003,7446.774,9876.217999999999
KY,Todd,21219,12404,1587.7120000000002,2865.324,3423.5040000000004,2021.852,3994.0880000000006,4936.7919999999995
KY,Trigg,21221,14332,1691.1760000000002,2880.732,3754.984,2450.7720000000004,4285.268,5818.792
