cbsacode,Year,factor,baseline_moran_value,baseline_moran_p,final_moran_value,final_moran_p,selected_k,SSAMI,ln_density_beta,ln_density_p,ln_density_CI_lower,ln_density_CI_upper
39340,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.3421014324819769,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39660,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.13563212475233932,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
39900,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.06905622607601103,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
40060,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5427808092433111,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41180,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.5612383193160699,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41620,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.2064238052360814,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
41700,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.4042537188402999,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
42660,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.10455925344662731,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
43580,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.8120541173313249,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
43620,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.46993482129507136,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
44060,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.5477924108314145,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
44140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.6298485157908615,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
45780,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.8653504258602496,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
45820,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.3791901571383942,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
46140,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.3013663597887941,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
47260,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,0.4134223261156986,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
48620,2014,driving_alone_to_work,0.15232666636296457,0.001,0.016727039247555756,0.236,48,-0.07399855642043285,0.9254703653632216,8.507934306362926e-254,0.8895996912174029,0.9613410395090403
